,kernel,#clusters,threshold,kernel parameter,svc parameter,auc
0,Omega,4,05,0.01,10.0,0.7216393442622949
1,NMImax,4,05,5.0,1.0,0.7501569584931984
2,NMIsum,4,05,0.01,0.01,0.7826996860830137
3,lfkNMI,4,05,0.01,0.01,0.7348447854900593
4,Omega,4,10,0.01,0.01,0.701611440530171
5,NMImax,4,10,5.0,10.0,0.798709452389257
6,NMIsum,4,10,5.0,10.0,0.7993930938262993
7,lfkNMI,4,10,5.0,10.0,0.7997418904778513
8,Omega,4,15,0.1,0.01,0.7720544122776423
9,NMImax,4,15,7.0,10.0,0.8031810254621555
10,NMIsum,4,15,7.0,10.0,0.8039902336937566
11,lfkNMI,4,15,7.0,10.0,0.8046041158004884
12,Omega,4,20,0.01,1.0,0.7846668991977677
13,NMImax,4,20,6.0,1.0,0.8116567840948727
14,NMIsum,4,20,6.0,1.0,0.8119288454830834
15,lfkNMI,4,20,6.0,1.0,0.8118451342867108
16,Omega,4,25,0.01,50.0,0.8232298569933729
17,NMImax,4,25,5.0,1.0,0.8267806069061736
18,NMIsum,4,25,6.0,1.0,0.8274154168119988
19,lfkNMI,4,25,5.0,1.0,0.8275061039414022
20,Omega,4,30,0.01,0.01,0.7916358562957795
21,NMImax,4,30,6.0,1.0,0.8138890826648063
22,NMIsum,4,30,6.0,1.0,0.8141541681199861
23,lfkNMI,4,30,6.0,1.0,0.8139518660620857
24,Omega,4,35,0.01,50.0,0.8229787234042554
25,NMImax,4,35,0.3,10.0,0.8149494244855249
26,NMIsum,4,35,0.3,10.0,0.8185071503313569
27,lfkNMI,4,35,2.0,1.0,0.8126822462504361
28,Omega,4,40,1.0,1.0,0.8257760725497034
29,NMImax,4,40,0.01,0.01,0.8144332054412279
30,NMIsum,4,40,6.0,10.0,0.8053784443669341
31,lfkNMI,4,40,0.01,0.01,0.8140634809905823
